dd_numero;capitolo;anno_imp;importo;missione;missione_nome;programma;macro;denominazione;match
DD 2294/2025;021750006001;2025;5.826,52;01;Servizi istituzionali, generali e di gestione;7;3;SERVIZIO ELETTORALE - SPESE DERIVANTI DA AGGIORNAMENTO LISTE ELETTORALI DA DISPOSIZIONI MINISTERIALI - Sett.018;exact
DD 2310/2025;118630008003;2025;91.172,77;01;Servizi istituzionali, generali e di gestione;8;2;SISTEMI INFORMATIVI - PN METRO PLUS - DIGITALIZZAZIONE E CHANGE MANAGEMENT - TO1.1.2.1.C - VEDASI CAP.032500002001 ENTRATA - SETT.27;exact
DD 2330/2025;163600007001;2025;40.260,00;09;Sviluppo sostenibile e tutela del territorio e dell'ambiente;2;2;PNRR - DL. 50 ART. 42 - RIQUALIFICAZIONE SPAZIO PUBBLICO FRONTE COMPLESSO TO-EXPO - C12H23000030001 -VEDASI CAP. 31520012001 ENTRATA - SETTORE 117;exact
DD 2350/2025;118630008003;2025;230.000,00;01;Servizi istituzionali, generali e di gestione;8;2;SISTEMI INFORMATIVI - PN METRO PLUS - DIGITALIZZAZIONE E CHANGE MANAGEMENT - TO1.1.2.1.C - VEDASI CAP.032500002001 ENTRATA - SETT.27;exact
DD 2350/2025;118630008003;2026;282.216,06;01;Servizi istituzionali, generali e di gestione;8;2;SISTEMI INFORMATIVI - PN METRO PLUS - DIGITALIZZAZIONE E CHANGE MANAGEMENT - TO1.1.2.1.C - VEDASI CAP.032500002001 ENTRATA - SETT.27;exact
DD 2352/2025;075700006001;2025;18.350,02;09;Sviluppo sostenibile e tutela del territorio e dell'ambiente;5;3;TUTELA ANIMALI - ACQUISTO DI SERVIZI - TUTELA ANIMALI IN CITTA' - settore 110;exact
DD 2352/2025;075700006001;2025;204,56;09;Sviluppo sostenibile e tutela del territorio e dell'ambiente;5;3;TUTELA ANIMALI - ACQUISTO DI SERVIZI - TUTELA ANIMALI IN CITTA' - settore 110;exact
DD 2352/2025;075700006001;2025;51,14;09;Sviluppo sostenibile e tutela del territorio e dell'ambiente;5;3;TUTELA ANIMALI - ACQUISTO DI SERVIZI - TUTELA ANIMALI IN CITTA' - settore 110;exact
DD 2398/2025;002610006001;2025;35.500,00;01;Servizi istituzionali, generali e di gestione;11;3;ALTRI SERVIZI GENERALI - ACQUISTO BENI DI CONSUMO - DISPOSITIVI ANTI- COVID - settore 005;exact
DD 2398/2025;002610006001;2026;35.500,00;01;Servizi istituzionali, generali e di gestione;11;3;ALTRI SERVIZI GENERALI - ACQUISTO BENI DI CONSUMO - DISPOSITIVI ANTI- COVID - settore 005;exact
DD 2398/2025;002610006001;2027;34.500,00;01;Servizi istituzionali, generali e di gestione;11;3;ALTRI SERVIZI GENERALI - ACQUISTO BENI DI CONSUMO - DISPOSITIVI ANTI- COVID - settore 005;exact
DD 2400/2025;080200013001;2025;;12;Diritti sociali, politiche sociali e famiglia;1;3;ASILI NIDO ED INTERVENTI INNOVATIVI PER LA PRIMA INFANZIA - ACQUISTO DI SERVIZI - GESTIONE ESTERNA NIDI - SPESE VARIE - SRE IVA - settore 007;exact
DD 2406/2025;163700007002;2025;29.999,80;14;Sviluppo economico e competitività;3;2;INNOVAZIONE FONDI EUROPEI- PROGETTO 5G4LIVES ATTREZZATURE - VEDASI CAP. 035300018 - sett.028;exact
DD 2415/2025;028300002002;2025;13.054,00;01;Servizi istituzionali, generali e di gestione;1;3;COMUNICAZIONE ISTITUZIONALE ED INFORMAZIONE - SPESE PUBBLICITARIE A CARATTERE ISTITUZIONALE - QUOTIDIANI E PERIODICI - LEGGE N. 122/2010 - ART. 6 COMMA 8 - settore 001;exact
DD 2416/2025;098700011001;2025;41.358,00;14;Sviluppo economico e competitività;2;3;COMMERCIO E MERCATI - ACQUISTO DI BENI E SERVIZI - ATTIVITA' DI PROMOZIONE DEL COMMERCIO - SETT. 134;exact
DD 2506/2025;108500002001;2025;61.231,92;01;Servizi istituzionali, generali e di gestione;1;2;ORGANI ISTITUZIONALI PARTECIPAZIONE E DECENTRAMENTO - MANUTENZIONE STRAORDINARIA - settore 030;exact
DD 2511/2025;034100008004;2025;5.497,00;03;Ordine pubblico e sicurezza;1;3;POLIZIA MUNICIPALE - ACQUISTO DI MATERIALI - ACQUISTO DI PUBBLICAZIONI - VEDASI CAP. 8700000 ENTRATA - settore 048;exact
DD 2511/2025;008700000001;2025;5.497,00;01;Servizi istituzionali, generali e di gestione;3;10;ERARIO C/I.V.A. - I.V.A. A DEBITO - settore 024;exact
DD 2513/2025;021750002001;2025;4.566,09;01;Servizi istituzionali, generali e di gestione;7;3;ELEZIONI - SERVIZI IN OCCASIONE DI REFERENDUM - VEDASI CAP. 5000002 ENTRATA - settore 018;exact
DD 2525/2025;003610005001;2025;83.204,00;01;Servizi istituzionali, generali e di gestione;1;3;GABINETTO DEL SINDACO - COORD. ATTIVITA' DI SUPPORTO AL CAPO GABINETTO - LOOK E SPONSORIZZAZIONI DELLA CITTA' - STAND SALONE DEL LIBRO - sett. 01;exact
DD 2525/2025;003610005001;2025;934,50;01;Servizi istituzionali, generali e di gestione;1;3;GABINETTO DEL SINDACO - COORD. ATTIVITA' DI SUPPORTO AL CAPO GABINETTO - LOOK E SPONSORIZZAZIONI DELLA CITTA' - STAND SALONE DEL LIBRO - sett. 01;exact
DD 2528/2025;045800005001;2025;48.243,68;04;Istruzione e diritto allo studio;6;3;ASSISTENZA SCOLASTICA - ACQUISTO DI SERVIZI - PULIZIA EDIFICI SCOLASTICI - Sett. 007;exact
DD 2528/2025;045800005001;2026;21.709,66;04;Istruzione e diritto allo studio;6;3;ASSISTENZA SCOLASTICA - ACQUISTO DI SERVIZI - PULIZIA EDIFICI SCOLASTICI - Sett. 007;exact
