cig;dd_numeri;capitoli;missioni;denominazioni_capitoli
B68A1F9D84;DD 3173/2025;136100011001;06;PNRR - M5C2 I3.1 - CUP C15B22000090006 - LOTTO 1 - PARCO DELLO SPORT E DELL'EDUCAZIONE AMBIENTALE REALIZZAZIONE CITTADELLA DELLO SPORT - VEDASI CAP. 32460007 ENTRATA - SETT 62
B665941714;DD 3049/2025;020100005001;03;GESTIONE PARCO VEICOLI - UTILIZZO BENI DI TERZI - SERVIZI ESCLUSI - NOLEGGIO VEICOLI PER IL CORPO DI POLIZIA MUNICIPALE - settore 055
B654D7480D;DD 2294/2025;021750006001;01;SERVIZIO ELETTORALE - SPESE DERIVANTI DA AGGIORNAMENTO LISTE ELETTORALI DA DISPOSIZIONI MINISTERIALI - Sett.018
B6817A6771;DD 2400/2025;080200013001;12;ASILI NIDO ED INTERVENTI INNOVATIVI PER LA PRIMA INFANZIA - ACQUISTO DI SERVIZI - GESTIONE ESTERNA NIDI - SPESE VARIE - SRE IVA - settore 007
B65DE11EBD;DD 2478/2025;;;
B693206D61;DD 2528/2025|DD 4946/2025;045800005001;04;ASSISTENZA SCOLASTICA - ACQUISTO DI SERVIZI - PULIZIA EDIFICI SCOLASTICI - Sett. 007
B64470BBD5;DD 2235/2025|DD 6711/2025;002610006001;01;ALTRI SERVIZI GENERALI - ACQUISTO BENI DI CONSUMO - DISPOSITIVI ANTI- COVID - settore 005
B70BDDE29D;DD 3380/2025|DD 6341/2025;046150024001;04;PROGETTI EDUCATIVI - PRESTAZIONI DI SERVIZI - QUOTE ASSICURATIVE - ATTIVITA' EDUCATIVE - settore 007
B6CA7BA528;DD 2883/2025;021750002001;01;ELEZIONI - SERVIZI IN OCCASIONE DI REFERENDUM - VEDASI CAP. 5000002 ENTRATA - settore 018
B7023993F5;DD 4942/2025|DD 4922/2025|DD 5189/2025|DD 7673/2025;;;
B6FDD7D8CB;DD 3326/2025|DD 9057/2025;020650007001;01;EDILIZIA ABITATIVA PUBBLICA E PER IL SOCIALE - ACQUISTO DI SERVIZI - INCARICHI DI PROGETTAZIONE - Settore 063
B67E3B5A68;DD 2607/2025;118630008001;01;SISTEMI INFORMATIVI - PN METRO PLUS - SERVIZI DIGITALI ALLA PERSONA - TO1.1.2.1.A - VEDASI CAP.032500002001 ENTRATA - SETT.27
B6BF1D5A7F;DD 3228/2025;;;
B64AA0E0DA;DD 6991/2025;086300038001;12;SERVIZI SOCIALI - PRESTAZIONI DI SERVIZI - PROGETTO SPECIALI F.A.M.I. - VEDASI CAP. 6620001 entrata - sett. 19
B70C3BB945;DD 3256/2025;026900003001;01;SISTEMI INFORMATIVI - ACQUISTO DI SERVIZI - SISTEMA INFORMATIVO COMUNALE - settore 027
B64AA0D007;DD 3006/2025|DD 6786/2025;086300038001;12;SERVIZI SOCIALI - PRESTAZIONI DI SERVIZI - PROGETTO SPECIALI F.A.M.I. - VEDASI CAP. 6620001 entrata - sett. 19
B6FC6940DA;DD 3226/2025;008700000001;01;ERARIO C/I.V.A. - I.V.A. A DEBITO - settore 024
B6BC32D9FF;DD 2998/2025;;;
B6FD2D7F38;DD 4663/2025|DD 5086/2025;060500010001;07;TURISMO - ACQUISTO DI BENI E SERVIZI - PROGETTO UNESCO RESIDENZE DELLA FAMIGLIA REALE DI SAVOIA - VEDASI CAP. 6500002 ENTRATA - SETT. 69
